iter	Passed	Remaining
415	4589	6442
416	4604	6436
417	4610	6419
418	4619	6405
419	4631	6395
420	4636	6376
421	4643	6360
422	4650	6343
423	4656	6326
424	4663	6309
425	4670	6293
426	4690	6294
427	4696	6277
428	4709	6268
429	4729	6269
430	4748	6268
431	4759	6257
432	4771	6248
433	4782	6236
434	4791	6223
435	4798	6207
436	4804	6190
437	4816	6179
438	4822	6162
439	4828	6145
440	4844	6140
441	4850	6123
442	4868	6121
443	4874	6103
444	4880	6086
445	4890	6074
446	4896	6057
447	4903	6042
448	4925	6044
449	4932	6028
450	4938	6011
451	4950	6002
452	4960	5989
453	4981	5990
454	4995	5984
455	5004	5970
456	5010	5953
457	5018	5938
458	5026	5924
459	5035	5911
460	5041	5894
461	5047	5878
462	5067	5877
463	5077	5865
464	5089	5855
465	5094	5838
466	5113	5836
467	5120	5820
468	5126	5804
469	5133	5788
470	5139	5772
471	5154	5765
472	5161	5750
473	5169	5736
474	5176	5720
475	5182	5705
476	5187	5687
477	5193	5671
478	5203	5659
479	5212	5647
480	5218	5630
481	5226	480	5241	5656
481	5267	5661
482	5295	5668
483	5311	5662
484	5322	5652
485	5328	5635
486	5335	5620
487	5348	5611
488	5354	5595
489	5361	5579
490	5367	5564
491	5373	5547
492	5383	5536
493	5391	5522
494	5401	5510
495	5407	5495
496	5415	5481
497	5430	5474
498	5435	5457
499	5443	5443
500	5457	5436
501	5476	5432
502	5482	5417
503	5489	5402
504	5500	5391
505	5506	5375
506	5512	5359
507	5519	5345
508	5525	5329
509	5535	5318
510	5546	5307
511	5552	5292
512	5560	5278
513	5566	5263
514	5577	5252
515	5583	5237
516	5602	5234
517	5609	5219
518	5616	5204
519	5629	5196
520	5635	5180
521	5641	5165
522	5652	5155
523	5667	5148
524	5683	5142
525	5705	5141
526	5713	5128
527	5719	5112
528	5727	5099
529	5735	5085
530	5741	5070
531	5754	5062
532	5762	5049
533	5772	5037
534	5777	5021
535	5804	5024
536	5815	5014
537	5822	4999
538	5834	4990
539	5839	4974
540	5846	4960
541	5852	4945
542	5859	4931
543	5865	4917
544	5890	4917
545	5899	4905
546	5909	4893
547	5924	4886
548	5930	4872
549	5945	4864
550	5976	4870
551	6033	4897
552	6068	4905
553	6088	4901
554	6102	4892
555	6118	4886
556	6125	4871
557	6136	4861
558	6143	4846
559	6151	4833
560	6160	4820
561	6167	4806
562	6181	4798
563	6206	4798
564	6223	4791
565	6232	4779
566	6240	4766
567	6266	4766
568	6279	4756
569	6297	4750
570	6304	4736
571	6311	4722
572	6318	4708
573	6334	4701
574	6357	4698
575	6363	4684
576	6370	4670
577	6382	4660
578	6395	4649
579	6401	4635
580	6412	4624
581	6418	4609
582	6427	4597
583	6435	4583
584	6441	4569
585	6446	4554
586	6453	4540
587	6467	4531
588	6473	4516
589	6480	4503
590	6487	4489
591	6492	4474
592	6502	4462
593	6520	4457
594	6529	4444
595	6547	4438
596	6553	4423
597	6564	4413
598	6577	4403
599	6596	4397
600	6603	4383
601	6618	4375
602	6626	4362
603	6642	4355
604	6662	4349
605	6678	4342
606	6686	4329
607	6693	4315
608	6708	4306
609	6721	4297
610	6726	4282
611	6733	4268
612	6745	4258
613	6750	4243
614	6763	4234
615	6771	4221
616	6780	4208
617	6791	4197
618	6799	4184
619	6804	4170
620	6810	4156
621	6819	4144
622	6831	4133
623	6840	4121
624	6850	4110
625	6856	4096
626	6872	4088
627	6886	4079
628	6895	4067
629	6903	4054
630	6918	4045
631	6929	4035
632	6937	4022
633	6944	4008
634	6950	3995
635	6955	3980
636	6964	3968
637	6970	3955
638	6986	3946
639	6991	3932
640	6997	3919
641	7004	3906
642	7010	3892
643	7016	3878
644	7031	3870
645	7037	3856
646	7043	3842
647	7053	3831
648	7074	3826
649	7084	3814
650	7090	3801
651	7098	3788
652	7103	3774
653	7111	3762
654	7117	3748
655	7657	7145	656	7658	7153	657	7659	7178	3697
660	7208	3696
661	7250	3701
662	7290	3705
663	7303	3695
664	7324	3690
665	7334	3678
666	7340	3664
667	7348	3652
668	7354	3638
669	7367	3628
670	7373	3615
671	7379	3602
672	7394	3592
673	7400	3579
674	7417	3571
675	7439	3565
676	7470	3564
677	7497	3560
678	7523	3556
679	7546	3551
680	7556	3539
681	7567	3528
682	7588	3522
683	7594	3508
684	7600	3495
685	7607	3482
686	7617	3470
687	7624	3457
688	7631	3444
689	7640	3432
690	7651	3421
691	7657	3408
692	7670	3397
693	7740	3412
694	7749	3400
695	7756	3387
696	7766	3376
697	7772	3363
698	7782	3351
699	7798	3342
700	7812	3332
701	7818	3319
702	7825	3306
703	7838	3295
704	7844	3282
705	7850	3269
706	7877	3264
707	7884	3251
708	7899	3242
709	7905	3229
710	7912	3216
711	7928	3206
712	7954	3201
713	7962	3189
714	7968	3176
715	7981	3165
716	8006	3160
717	8020	3149
718	8027	3137
719	8036	3125
720	8041	3111
721	8054	3101
722	8063	3089
723	8085	3082
724	8090	3068
725	8097	3056
726	8104	3043
727	8115	3032
728	8123	3019
729	8134	3008
730	8150	2999
731	8156	2986
732	8162	2973
733	8175	2962
734	8260	2978
735	8292	2974
736	8301	2962
737	8307	2949
738	8317	2937
739	8323	2924
740	8345	2917
741	8353	2904
742	8388	2901
743	8401	2890
744	8410	2878
745	8433	2871
746	8439	2858
747	8450	2846
748	8455	2833
749	8468	2822
750	8473	2809
751	8493	2801
752	8499	2788
753	8507	2775
754	8513	2762
755	8519	2749
756	8524	2736
757	8534	2724
758	8543	2712
759	8550	2700
760	8568	2690
761	8574	2678
762	8581	2665
763	8587	2652
764	8594	2640
765	8603	2628
766	8631	2621
767	8637	2609
768	8643	2596
769	8655	2585
770	8665	2573
771	8671	2560
772	8681	2549
773	8687	2536
774	8694	2524
775	8704	2512
776	8714	2501
777	8731	2491
778	8736	2478
779	8749	2467
780	8772	2459
781	8777	2446
782	8786	2435
783	8795	2423
784	8802	2410
785	8825	2402
786	8831	2390
787	8840	2378
788	8849	2366
789	8861	2355
790	8876	2345
791	8883	2332
792	8889	2320
793	8898	2308
794	8915	2299
795	8921	2286
796	8929	2274
797	8935	2261
798	8944	2250
799	8954	2238
800	8959	2225
801	8969	2214
802	8975	2201
803	8981	2189
804	8990	2177
805	9004	2167
806	9015	2156
807	9022	2143
808	9045	2135
809	9054	2123
810	9061	2111
811	9077	2101
812	9085	2089
813	9093	2077
814	9100	2065
815	9108	2053
816	9116	2041
817	9130	2031
818	9139	2019
819	9145	2007
820	9154	1995
821	9160	1983
822	9170	1972
823	9178	1960
824	9186	1948
825	9193	1936
826	9201	1924
827	9207	1912
828	9214	1900
829	9222	1888
830	9227	1876
831	9237	1865
832	9254	1855
833	9268	1844
834	9275	1832
835	9287	1821
836	9293	1809
837	9300	1797
838	9310	1786
839	9319	1775
840	9326	1763
841	9334	1751
842	9345	1740
843	9352	1728
844	9363	1717
845	9369	1705
846	9379	1694
847	9385	1682
848	9399	1671
849	9408	1660
850	9420	1649
851	9430	1638
852	9435	1625
853	9444	1614
854	9457	1603
855	9464	1592
856	9471	1580
857	9479	1568
858	9491	1557
859	9501	1546
860	9507	1534
861	9519	1523
862	9528	1512
863	9542	1501
864	9548	1490
865	9555	1478
866	9563	1467
867	9573	1455
868	9580	1444
869	9586	1432
870	9592	1420
871	9599	1409
872	9609	1397
873	9616	1386
874	9624	1374
875	9636	1364
876	9643	1352
877	9654	1341
878	9661	1329
879	9677	1319
880	9684	1308
881	9696	1297
882	9714	1287
883	9722	1275
884	9729	1264
885	9736	1252
886	9743	1241
887	9749	1229
888	9757	1218
889	9762	1206
890	9770	1195
891	9777	1183
892	9785	1172
893	9791	1160
894	9803	1150
895	9811	1138
896	9817	1127
897	9834	1117
898	9843	1105
899	9867	1096
900	9873	1084
901	9881	1073
902	9906	1064
903	9912	1052
904	9919	1041
905	9937	1031
906	9943	1019
907	9959	1009
908	9970	998
909	9976	986
910	9982	975
911	9992	964
912	10002	953
913	10009	941
914	10015	930
915	10022	919
916	10034	908
917	10039	896
918	10047	885
919	10055	874
920	10065	863
921	10072	852
922	10083	841
923	10095	830
924	10100	818
925	10112	808
926	10118	796
927	10123	785
928	10132	774
929	10140	763
930	10148	752
931	10154	740
932	10162	729
933	10167	718
934	10177	707
935	10183	696
936	10191	685
937	10203	674
938	10213	663
939	10222	652
940	10233	641
941	10243	630
942	10257	620
943	10265	608
944	10275	598
945	10283	587
946	10291	575
947	10300	565
948	10307	553
949	10316	542
950	10323	531
951	10331	520
952	10338	509
953	10345	498
954	10353	487
955	10358	476
956	10362	465
957	10368	454
958	10373	443
959	10384	432
960	10394	421
961	10401	410
962	10408	399
963	10415	388
964	10421	377
965	10427	367
966	10434	356
967	10442	345
968	10447	334
969	10452	323
970	10458	312
971	10464	301
972	10471	290
973	10479	279
974	10488	268
975	10496	258
976	10505	247
977	10509	236
978	10515	225
979	10522	214
980	10528	203
981	10534	193
982	10539	182
983	10544	171
984	10550	160
985	10553	149
986	10556	139
987	10560	128
988	10562	117
989	10568	106
990	10571	96
991	10575	85
992	10579	74
993	10582	63
994	10585	53
995	10589	42
996	10593	31
997	10596	21
998	10599	10
999	10603	0
9	10
999	10335	0
